Country,Lat,Long,Date,Confirmed,Deaths,Recovered,Num_days_from_begin,Num_days_from_begin_norm
Botswana,0.17543407230240396,0.47943483860895353,2020-01-23,0,0,0,1.0,0.5
Brazil,0.2518861517215061,0.2194232652223125,2020-01-23,0,0,0,1.0,0.5
Brunei,0.4291924427353286,0.785036052287271,2020-01-23,0,0,0,1.0,0.5
Bulgaria,0.7900205641782784,0.48215305718983914,2020-01-23,0,0,0,1.0,0.5
Burkina Faso,0.5019558167719436,0.3903553980006211,2020-01-23,0,0,0,1.0,0.5
Burma,0.5933743105521534,0.7213257467125302,2020-01-23,0,0,0,1.0,0.5
Burundi,0.35448883800585096,0.4971987992187115,2020-01-23,0,0,0,1.0,0.5
Cabo Verde,0.5425788065219712,0.317452565236058,2020-01-23,0,0,0,1.0,0.5
Cambodia,0.4954540602680617,0.7517379595202984,2020-01-23,0,0,0,1.0,0.5
Cameroon,0.4227001323399806,0.4346930082829472,2020-01-23,0,0,0,1.0,0.5
Canada,0.8958113120928138,0.0,2020-01-23,0,0,0,1.0,0.5
Central African Republic,0.4488006748299937,0.4667227800564414,2020-01-23,0,0,0,1.0,0.5
Chad,0.5323335572061056,0.4592316425215049,2020-01-23,0,0,0,1.0,0.5
Chile,0.04936064014388308,0.1528416736949818,2020-01-23,0,0,0,1.0,0.5
China,0.686980523068814,0.7935165277124913,2020-01-23,643,18,30,1.0,0.5
Colombia,0.42952872419913535,0.14349370336493666,2020-01-23,0,0,0,1.0,0.5
Comoros,0.2763468497700345,0.542726669528902,2020-01-23,0,0,0,1.0,0.5
Congo (Brazzaville),0.3482052866091021,0.4695034474098183,2020-01-23,0,0,0,1.0,0.5
Congo (Kinshasa),0.3482052866091021,0.4695034474098183,2020-01-23,0,0,0,1.0,0.5
Costa Rica,0.47844067418765834,0.11140012523694043,2020-01-23,0,0,0,1.0,0.5
Cote d'Ivoire,0.45757516504713136,0.37682879024170046,2020-01-23,0,0,0,1.0,0.5
Croatia,0.812371001580334,0.44724351457618833,2020-01-23,0,0,0,1.0,0.5
Cuba,0.5941658944472941,0.1241389960341635,2020-01-23,0,0,0,1.0,0.5
Cyprus,0.7181592935066505,0.5091149753174621,2020-01-23,0,0,0,1.0,0.5
Czechia,0.8569330185889971,0.44817006429847794,2020-01-23,0,0,0,1.0,0.5
Denmark,0.917826412641916,0.4279040800430353,2020-01-23,0,0,0,1.0,0.5
